0,62,5
1,62,11
2,62,17
3,62,22
4,62,25
5,77,5
6,77,11
7,77,17
8,77,22
9,77,25
10,103,5
11,103,11
12,103,17
13,103,22
14,103,25
15,104,5
16,104,11
17,104,17
18,104,22
19,104,25
20,123,5
21,123,11
22,123,17
23,123,22
24,123,25
25,145,5
26,145,11
27,145,17
28,145,22
29,145,25
30,146,5
31,146,11
32,146,17
33,146,22
34,146,25
35,155,5
36,155,11
37,155,17
38,155,22
39,155,25
40,188,5
41,188,11
42,188,17
43,188,22
44,188,25
45,216,5
46,216,11
47,216,17
48,216,22
49,216,25
50,233,5
51,233,11
52,233,17
53,233,22
54,233,25
55,260,5
56,260,11
57,260,17
58,260,22
59,260,25
60,278,5
61,278,11
62,278,17
63,278,22
64,278,25
65,319,5
66,319,11
67,319,17
68,319,22
69,319,25
70,325,5
71,325,11
72,325,17
73,325,22
74,325,25
75,335,5
76,335,11
77,335,17
78,335,22
79,335,25
80,412,5
81,412,11
82,412,17
83,412,22
84,412,25
85,444,5
86,444,11
87,444,17
88,444,22
89,444,25
90,466,5
91,466,11
92,466,17
93,466,22
94,466,25
95,475,5
96,475,11
97,475,17
98,475,22
99,475,25
